ProcessDataID	CodeName	cathodeMass																										
231562	QA_12_4	28.2642																										
1048322	QA_109_13	18.875604																										
844966	QA_54_7	19.438584																										
835821	QA_51_6	18.743024																										
1012650	QA_84_5	18.212704																										
1010975	QA_87_11	17.710794																										
1048317	QA_109_1	18.790374																										
930850	QA_72_10	18.743024																										
998316	QA_81_3	18.051714																										
931115	QA_73_15	18.534684																										
185003	QA_1_16	27.94146																										
998311	QA_81_2	18.004364																										
871012	QA_69_3	28.98792																										
1022027	QA_92_11	18.193764																										
849541	QA_61_1	19.572564																										
994588	QA_74_10	18.307404																										
185006	QA_1_2	27.91212																										
1035636	QA_101_13	18.241114																										
1025799	QA_96_15	18.591504																										
185150	QA_2_2	28.27398																										
1032121	QA_100_13	18.193764																										
868887	QA_65_10	-12.04896																										
1032126	QA_100_5	18.051714																										
231727	QA_14_10	28.05882																										
869182	QA_67_5	28.04904																										
1011055	QA_87_13	18.032774																										
870122	QA_68_1	28.73364																										
1035651	QA_101_15	18.136944																										
995333	QA_80_15	18.241114																										
1005256	QA_83_12	18.771434																										
185015	QA_1_5	28.0686																										
997672	QA_75_6	18.118004																										
1042400	QA_105_4	18.316874																										
212354	QA_7_15	28.24464																										
212237	QA_1_9	28.20552																										
1022432	QA_95_6	18.676734																										
1005206	QA_83_2	18.856664																										
835856	QA_51_13	18.582034																										
871062	QA_69_13	-12.04896																										
1028809	QA_98_1	18.278994																										
1042380	QA_105_1	18.165354																										
1038628	QA_99_3	18.373694																										
844961	QA_54_6	19.792674																										
1012875	QA_85_3	18.676734																										
849059	QA_57_1	18.913484																										
1042790	QA_103_12	18.335814																										
997677	QA_75_7	18.553624																										
1025840	QA_97_6	18.430514																										
1032136	QA_100_15	17.947544																										
844981	QA_54_10	19.381164																										
1014114	QA_89_5	17.900194																										
231556	QA_12_2	28.47936																										
844901	QA_53_10	18.922954																										
869252	QA_66_3	28.63584																										
849528	QA_61_10	19.582134																										
1032586	QA_102_12	18.458924																										
849014	QA_57_8	18.563094																										
1025855	QA_97_2	18.193764																										
211621	QA_5_8	28.19574																										
997762	QA_78_8	17.957014																										
1048147	QA_110_2	18.837724																										
870087	QA_70_5	28.83144																										
185129	QA_2_10	28.1175																										
1032076	QA_100_1	18.193764																										
211600	QA_5_1	28.1664																										
1010890	QA_86_5	18.534684																										
1028774	QA_98_12	18.297934																										
844931	QA_53_16	18.790374																										
211612	QA_5_5	28.33266																										
212231	QA_1_7	28.1664																										
1048382	QA_109_14	19.074474																										
185132	QA_2_11	28.0686																										
1032091	QA_100_2	18.458924																										
849436	QA_59_15	19.964934																										
1009404	QA_82_4	18.904014																										
1000866	QA_76_12	18.534684																										
184991	QA_1_12	28.13706																										
1001086	QA_77_8	18.383164																										
1028834	QA_98_10	18.203234																										
1010980	QA_87_16	17.900194																										
1048347	QA_109_10	18.885074																										
870102	QA_70_13	-12.04896																										
869232	QA_67_15	-12.04896																										
997782	QA_78_12	17.881254																										
1042355	QA_105_7	18.297934																										
1024363	QA_93_3	18.174824																										
997767	QA_78_9	18.203234																										
849267	QA_60_11	19.362024																										
1025865	QA_97_4	18.250584																										
869212	QA_67_11	-12.04896																										
869247	QA_66_2	27.91212																										
1022467	QA_95_8	18.383164																										
1042415	QA_105_5	17.994894																										
212381	QA_7_9	28.46958																										
997732	QA_78_2	18.241114																										
1010830	QA_86_8	18.572564																										
1024368	QA_93_8	18.392634																										
997662	QA_75_4	17.928604																										
848239	QA_58_10	18.969654																										
1040908	QA_104_5	18.051714																										
1032636	QA_102_15	18.174824																										
1022427	QA_95_12	18.203234																										
185114	QA_3_7	28.35222																										
1005246	QA_83_10	18.695674																										
1012635	QA_84_4	18.316874																										
1042800	QA_103_6	18.269524																										
868847	QA_65_2	28.40112																										
1028749	QA_98_3	18.288464																										
231796	QA_11_2	28.54782																										
849227	QA_60_3	19.897944																										
1012935	QA_85_16	18.894544																										
844786	QA_55_3	18.553624																										
995328	QA_80_14	18.250584																										
185018	QA_1_6	27.9219																										
1022232	QA_94_16	18.657794																										
869302	QA_66_13	-12.04896																										
1025718	QA_96_11	18.260054																										
231553	QA_12_16	28.44024																										
844791	QA_55_4	18.714614																										
